"","Month","Year","SPI3","SPEI3","SMI(PREC-PET3)","SMI(PREC-RH3)","SMI(PREC-TMean3)","SMI(PREC-PET-RH3)","SPI6","SPEI6","SMI(PREC-PET6)","SMI(PREC-RH6)","SMI(PREC-TMean6)","SMI(PREC-PET-RH6)","SPI9","SPEI9","SMI(PREC-PET9)","SMI(PREC-RH9)","SMI(PREC-TMean9)","SMI(PREC-PET-RH9)","SPI12","SPEI12","SMI(PREC-PET12)","SMI(PREC-RH12)","SMI(PREC-TMean12)","SMI(PREC-PET-RH12)"
"153",9,1962,0.258574435001471,-0.559173594473851,-0.82308480862925,-0.727306089875038,-0.83208104486573,-0.640242734610563,0.252434875305723,-0.223341755116692,-0.774614394459857,-0.318287697525562,-0.779604355892632,-0.619374447182388,-0.06530018116847,-0.524396518656073,-0.885164714109828,-0.0470731703209351,-0.852291376860229,-0.794121614266085,-0.374510564629438,-0.787397884085178,-1.12617700922494,0.0416334201954418,-1.10783235660412,-0.948973852553097
"154",10,1962,1.32045707129089,0.966790007533161,-0.138506314267835,0.998606460136518,-0.15195280708419,0.042465175056883,0.784902338305084,0.24779412968766,-0.872451781458703,0.164423128534074,-0.893519465344422,-0.572651454522999,0.550461070415403,0.112375248948784,-0.691768817251066,0.614780239123052,-0.67060900915018,-0.501326361420774,-0.0642783908631358,-0.553693217776173,-1.05214853412086,0.586931005554894,-1.02995275162151,-0.910588021098187
"155",11,1962,0.716253103126275,0.305781104182285,-0.903398476607535,1.40536761829151,-0.865145967773846,-0.636895956332835,-0.123693833433737,-0.804552753710496,-1.50780017632772,-0.0894726278668141,-1.493765004691,-1.35459765111718,0.0136634540058391,-0.64757813448873,-1.66218590185667,-0.354461655620796,-1.63953689938797,-1.49881969290594,-0.111286444425251,-0.649189920344464,-1.38957149521859,0.450767073768377,-1.33789631789703,-1.29060247169446
"156",12,1962,0.915657040060866,0.62234031188488,-1.25845427266217,1.44216049288877,-1.22675953583899,-0.995213185889287,0.892019360035262,0.211000214827171,-1.47187039968598,0.505478395932068,-1.45582013599836,-1.15644197171713,0.764865361435257,0.18594282484542,-1.35903891769821,0.572750932002993,-1.34481423931028,-1.08030371921267,0.416157937079262,-0.171351747609143,-1.39580226528379,0.680313685109781,-1.35148575170687,-1.18533608459338
"157",1,1963,0.948780824678662,0.588891328172766,-1.74341651529339,-0.0433541296454133,-1.67609594622501,-1.26515527940917,1.45183897274411,1.01225617456038,-1.33072039445252,0.675465400634513,-1.29262566980455,-0.864572464077188,1.25763940661378,0.55486765266096,-1.71891589099961,0.10922040385225,-1.69725003418674,-1.19800569581488,0.941460803639774,0.386104310685186,-1.47079762693203,0.510738240002528,-1.41881241104327,-1.06673900428179
"158",2,1963,1.77586917564709,1.65987858241497,-0.748717885920419,0.573682158345027,-0.753315857664649,0.0125618772034671,1.932437714664,1.66906085068172,-1.16822268325277,1.39939951736541,-1.14442533185912,-0.441470861078235,1.47181666217418,0.720094416259503,-1.66338616167705,0.258161453809915,-1.65458113224719,-1.09877174748496,1.05176738276692,0.410416762929633,-1.81385415978044,-0.020131719262587,-1.79653853414428,-1.2917349911472
"159",3,1963,1.28983728467463,1.29179355637308,0.283487872705303,0.456884029401134,0.270117551157713,0.626793402392014,1.65368529976108,1.43312911125835,-0.689405352838538,1.34282725948636,-0.676448034535888,-0.260512127234201,1.57966570516058,1.12553664797434,-1.03810534929393,0.676503499374551,-1.03271972261465,-0.582351576351045,1.26890267288071,0.84828645930101,-1.03521829110571,0.724458871856373,-1.02958451903489,-0.622173763444972
"160",4,1963,1.57286279492327,1.63917337841595,0.830363885676792,1.24447929182165,0.783456988813342,1.42517403224883,1.73730372621575,1.55857271509068,-0.645625705982103,0.849323747228606,-0.631191059937083,0.113150345249939,2.07695950708322,1.72665812280871,-0.607117839320434,1.2700156442872,-0.603095336424952,0.116904150277643,1.83205016455862,1.36865831984091,-1.07344288573603,0.716827290258467,-1.07813315177306,-0.324916350329722
"161",5,1963,1.7837724242506,2.01538347444892,2.24158761407649,2.3168072801757,2.21159255694718,2.71366209458401,2.42984937959528,2.27353753528786,1.05561830820728,2.0438846829261,1.03115734290901,1.92773145748425,2.50945397358969,2.20931443992185,0.340331385761095,2.48021422815069,0.342444187501178,1.20627409214816,2.12980524899679,1.75076064958254,-0.319740865277565,1.38197801736516,-0.327113014674899,0.405266801009411
"162",6,1963,2.52324673927851,2.40432809658826,1.90118146355117,1.87139456495951,1.9373954552306,2.8534872748835,2.57627674444997,2.43686404056037,1.54479450231727,1.6463415825639,1.56094741637468,2.46093006733402,2.69721311923531,2.37774381894262,0.534750516293656,2.17686402198654,0.566238280230313,1.43475438510622,2.62122481008533,2.27800529061736,0.0515651274825256,1.52156649868719,0.0743362128417976,0.92241237838783
"163",7,1963,2.58052399647899,2.21279459150974,2.0508208620169,1.34464300361317,2.11561392064225,2.81125139702001,2.69172586568371,2.46301546343147,2.03730527294546,1.83078593242324,2.0499526992167,2.99560514902713,2.79265296454358,2.5299335872326,0.656890795251719,1.46979993581289,0.706084924233345,1.71546362085658,2.98787519878447,2.58536869465478,0.499630959066233,1.77218731296296,0.535511078073193,1.50686766245828
"164",8,1963,2.19810630148223,1.92771090006074,0.26119253286891,-0.771655003286059,0.321506363855862,0.832095935918204,2.43185741199983,2.3379026914987,1.76973281372416,1.0925876529545,1.79117142431616,2.50722954781477,2.87645369168134,2.72884123611179,1.01270831857814,1.22330963155098,1.02755823060209,2.05439695657668,2.95408447160428,2.56759849809978,0.425331892208725,1.76210102676308,0.457318547682273,1.46071197568642
"165",9,1963,1.31999304718233,0.998711571297363,-0.19223027493811,-0.5194063429478,-0.180391364686244,-0.0032510508946732,2.68515130303423,2.41956669252105,1.20841097418511,0.956000039868827,1.24238950699642,2.01542136196604,2.81075990572955,2.67069261864631,1.15033522839608,1.04435288128285,1.17035922551681,2.00746399077128,2.75779995215348,2.39139938115097,0.366992394328095,1.62551637215081,0.40018105293154,1.24090822024577
"166",10,1963,0.293935857420952,-0.152708789032419,-0.657728070570467,-0.0950135717931888,-0.695813671373648,-0.597868308838714,2.420553979357,2.18893269893536,0.985065359653868,0.883621445210203,1.00395038418818,1.56509819101662,2.52795154850385,2.32276442907779,1.28371331106856,1.43997434298269,1.2720511595006,2.10072193294216,2.60760266159508,2.37501044430546,0.240020080914918,1.22537729699811,0.263580645928463,1.18670092051048
"167",11,1963,-0.145976420658998,-0.464614629713249,-0.372817023935115,0.662079147990885,-0.417230241765665,-0.22189236659596,1.65623359270046,1.36978673282425,-0.0789304345794107,-0.0774818303335336,-0.0676870031914948,0.431479081771995,2.2854936742075,2.11565196553154,1.22973478243397,1.27434565731857,1.22159735141213,1.91903473580643,2.7293368022171,2.35795121568839,0.690622618544935,1.39045679161277,0.681276410686363,1.66821377055486
"168",12,1963,-0.446482343788421,-0.710189401038703,-0.578142289323926,-0.19752208220329,-0.604476583228973,-0.406289598278415,0.193516825391896,-0.106886703901782,-0.544735664229754,-0.506944951049728,-0.55498544830682,-0.289588970201831,2.09851019797669,1.88589147307111,0.652872822406607,0.666531336588702,0.665412066596985,1.41101324223898,2.39680950469878,2.11125622356207,0.707148385997219,0.805675084604779,0.711322529236549,1.53537001405121
"169",1,1964,-1.88980633487792,-1.71527806599791,-1.00127991712843,-1.5703122315194,-0.99647712315254,-1.1658223204023,-1.48807741672246,-1.60392936267164,-1.17309579814454,-1.17756316840726,-1.19663029654904,-1.24711760385149,1.10229739029992,1.09225449891042,0.226213268459457,-0.185146300730939,0.2444057208173,0.604809491269696,1.62767216458531,1.61600431624831,0.611088379997395,0.461898246061116,0.6033900574647,1.23636740001391
"170",2,1964,-0.91136906374676,-0.865124056019781,0.187355757456778,-0.0778697165879382,0.0189812744177226,-0.355338010255384,-1.00066885860518,-1.13563802411837,-0.131140919174278,0.413098450578161,-0.28160454541227,-0.408163513778452,0.665852004347058,0.582386488370136,0.0437234670366684,-0.108221751385118,-0.0443073627844653,0.147146699134416,1.49029317344153,1.60264432991769,1.15865944023353,1.06468085414629,1.06742497672755,1.48426382682543
"171",3,1964,0.294704842960934,0.397774601375238,0.258048900694259,0.60457672441956,0.119270670525466,-0.00243311694443449,-0.178183529738003,-0.287902344042526,-0.226340205713018,0.287831097824589,-0.343092391144458,-0.289010603559055,0.271052979821639,0.137598815092917,-0.295790205073071,-0.0648662846612608,-0.384282767272855,-0.237853164767016,1.70674448894476,1.62541054266562,0.694428899991697,0.879521432113992,0.635899088920425,1.22075675438299
"172",4,1964,0.590321339923092,0.729140674078767,0.497766178362599,0.506678361912776,0.347463973540756,0.0133030737601266,-0.742921526397386,-0.708957084873784,-0.356037979101913,-0.75210272189853,-0.458921599169732,-0.814954174748691,-0.646434165786089,-0.757715179124041,-0.670443271214562,-0.668945412188052,-0.776436127109368,-1.01058672634306,1.11855561047607,1.18816414025573,0.444789526340298,0.092997781106681,0.385393549828408,0.530431920769563
"173",5,1964,0.554832256821402,0.738249502502139,0.626833867406214,0.169807993283361,0.679200706230815,0.404559280709244,-0.191045817507563,0.0465496646104215,0.575719004912353,0.0650101789019387,0.493689213018836,0.0348046941165412,-0.320368645454383,-0.244864906326245,0.254826589958635,0.435332163116308,0.16220756207332,-0.0996917038389092,0.77390306173995,0.863658460682827,0.351282566898394,-0.00881878929987568,0.301229051369367,0.329712419888052
"174",6,1964,0.59864543292327,0.955895925404917,1.89329263194951,1.26597444667047,1.90788422338346,1.35176736837024,0.522354404225216,0.8473256771156,1.52122818638067,1.3226794176342,1.4334149719985,0.954123399270461,0.181392178142288,0.391933529619656,0.908287006619628,0.965923794830835,0.821383705641312,0.544467084352483,0.493143530855028,0.622423565747742,0.690484484190868,0.576811372969471,0.621143472996854,0.469896801126359
"175",7,1964,0.979619992328898,1.24367111391432,2.22358295220885,2.28608442112431,2.24226787417458,2.11025230678703,0.942451323458195,1.21672862870279,1.92428442420319,1.97478150213094,1.83121695097428,1.50158040981008,-0.0882769896591681,0.185324320696427,0.993082423406115,0.705782154989743,0.919866044113975,0.55294744008644,-0.0491944233974737,0.0822911272122168,0.531170571436277,0.563718489862249,0.448720526594575,0.179932375653073
"176",8,1964,0.882488994490512,1.17428786886203,1.87710875258403,1.84919896266264,1.89511594056559,1.85080307880682,0.789286872343804,1.0954426594167,1.77055480629711,1.42765350981223,1.82031675787115,1.5947820184467,0.136772375800249,0.499271463631936,1.55382184268864,1.12071610767739,1.49724125290187,1.0969795695125,0.0052563714542051,0.28063431060556,1.15924067675595,1.30160819367447,1.08803383972423,0.83906599133236
