,Month,Year,P,Tmean,RH
449,5,1987,33.70,16.50,54.10
450,6,1987,25.10,20.10,54.70
451,7,1987,5.40,23.60,46.90
452,8,1987,0.00,22.50,45.90
453,9,1987,0.00,19.00,46.40
454,10,1987,51.80,11.60,64.10
455,11,1987,57.10,6.10,73.40
456,12,1987,81.30,3.20,76.30
457,1,1988,3.00,1.50,77.40
458,2,1988,41.50,3.10,74.30
459,3,1988,56.00,4.90,69.80
460,4,1988,60.70,11.20,67.90
461,5,1988,47.20,16.40,61.00
462,6,1988,27.00,19.80,57.00
463,7,1988,11.40,23.50,50.10
464,8,1988,0.00,22.60,45.70
465,9,1988,1.20,18.60,49.00
466,10,1988,60.30,11.30,67.80
467,11,1988,29.00,4.20,74.30
468,12,1988,22.40,3.90,74.20
469,1,1989,37.10,-8.30,79.20
470,2,1989,0.70,-2.90,74.40
471,3,1989,41.70,7.80,64.50
472,4,1989,12.20,16.30,48.90
473,5,1989,20.60,17.40,50.50
474,6,1989,0.00,21.70,46.60
475,7,1989,0.00,24.20,43.50
476,8,1989,20.60,24.30,41.80
477,9,1989,0.60,19.20,46.70
478,10,1989,26.80,11.30,67.10
479,11,1989,76.10,7.40,72.40
480,12,1989,18.30,1.00,80.50
481,1,1990,32.20,-6.80,80.80
482,2,1990,34.40,0.00,77.00
483,3,1990,37.60,6.20,59.80
484,4,1990,12.90,11.20,60.00
485,5,1990,46.70,14.70,58.30
486,6,1990,5.90,20.10,48.30
487,7,1990,0.30,24.30,46.50
488,8,1990,11.80,21.40,44.20
489,9,1990,19.30,17.80,54.70
490,10,1990,12.00,12.70,61.40
491,11,1990,31.20,9.10,68.10
492,12,1990,35.80,3.70,73.50
493,1,1991,46.50,-1.00,80.50
494,2,1991,34.50,-2.10,75.30
495,3,1991,20.20,7.50,62.20
496,4,1991,37.00,12.00,58.80
497,5,1991,15.90,15.20,56.20
498,6,1991,2.20,21.30,49.80
499,7,1991,0.50,23.90,45.10
500,8,1991,0.00,23.50,46.70
501,9,1991,1.50,17.90,49.40
502,10,1991,17.50,14.30,58.40
503,11,1991,46.40,6.30,70.80
504,12,1991,121.80,-1.00,80.00
505,1,1992,14.80,-4.20,76.60
506,2,1992,46.70,-7.90,77.90
507,3,1992,35.80,2.20,66.80
508,4,1992,17.40,11.40,52.10
509,5,1992,73.80,14.50,54.30
510,6,1992,56.80,19.10,53.80
511,7,1992,32.50,20.40,48.70
512,8,1992,26.00,22.40,47.60
513,9,1992,0.70,16.00,54.30
514,10,1992,2.00,15.60,51.00
515,11,1992,19.70,5.20,66.00
516,12,1992,53.30,-1.80,79.20
517,1,1993,18.10,-3.90,79.30
518,2,1993,8.50,-0.70,72.00
519,3,1993,36.80,5.10,61.80
520,4,1993,24.90,11.40,54.40
521,5,1993,67.40,14.50,63.50
522,6,1993,41.00,19.40,50.80
523,7,1993,0.00,22.80,40.20
524,8,1993,0.00,22.50,42.10
525,9,1993,0.00,18.60,44.60
526,10,1993,5.80,13.20,47.30
527,11,1993,31.70,3.60,65.90
528,12,1993,21.40,4.30,74.00
529,1,1994,67.60,3.70,73.70
530,2,1994,34.60,2.60,69.30
531,3,1994,18.90,6.20,62.30
532,4,1994,33.50,13.70,50.20
533,5,1994,14.80,17.60,45.60
534,6,1994,8.70,20.80,36.60
535,7,1994,2.50,23.30,36.40
536,8,1994,6.20,22.50,38.20
537,9,1994,5.40,21.60,41.20
538,10,1994,38.80,15.70,59.30
539,11,1994,73.70,5.20,76.80
540,12,1994,43.40,0.40,80.20
541,1,1995,27.20,2.60,79.40
542,2,1995,29.60,3.70,75.80
543,3,1995,24.60,6.90,67.00
544,4,1995,29.20,9.50,66.00
545,5,1995,26.20,17.60,54.90
546,6,1995,27.30,22.00,49.70
547,7,1995,21.60,21.30,53.70
548,8,1995,4.50,23.70,46.70
549,9,1995,0.80,19.80,50.80
550,10,1995,25.90,10.80,61.80
551,11,1995,36.10,2.90,69.70
552,12,1995,12.30,1.70,76.70
553,1,1996,15.30,0.80,74.20
554,2,1996,30.30,4.30,67.10
555,3,1996,67.40,4.30,70.40
556,4,1996,40.40,9.30,61.50
557,5,1996,25.70,18.30,53.80
558,6,1996,0.60,20.40,43.90
559,7,1996,0.00,25.30,43.80
560,8,1996,0.50,23.60,45.70
561,9,1996,2.00,19.00,52.90
562,10,1996,50.10,11.50,64.00
563,11,1996,0.10,7.70,68.10
564,12,1996,76.80,7.00,72.70
565,1,1997,36.40,1.60,71.30
566,2,1997,48.60,-0.40,72.00
567,3,1997,24.70,2.20,62.80
568,4,1997,43.80,7.90,57.30
569,5,1997,14.60,17.70,56.80
570,6,1997,35.10,20.50,54.20
571,7,1997,0.60,23.70,42.90
572,8,1997,27.50,21.60,48.90
573,9,1997,17.30,16.50,49.10
574,10,1997,28.80,13.70,58.50
575,11,1997,3.50,6.90,63.80
576,12,1997,50.90,4.00,72.50
577,1,1998,48.00,0.70,70.70
578,2,1998,15.80,1.80,63.20
579,3,1998,42.60,3.80,61.60
580,4,1998,31.80,13.10,55.50
581,5,1998,45.40,17.20,55.80
582,6,1998,26.70,21.10,50.90
583,7,1998,1.60,25.30,42.90
584,8,1998,1.70,25.20,43.40
585,9,1998,0.00,20.00,56.00
586,10,1998,40.30,13.90,56.70
587,11,1998,8.80,10.20,66.20
588,12,1998,50.60,3.80,75.00
589,1,1999,39.70,2.30,71.80
590,2,1999,34.40,3.20,67.90
591,3,1999,24.20,6.00,59.10
592,4,1999,21.40,11.90,54.20
593,5,1999,10.50,17.70,45.70
594,6,1999,87.50,20.10,53.90
595,7,1999,1.40,24.60,43.70
596,8,1999,10.70,24.00,48.20
597,9,1999,0.10,19.40,49.20
